subjectNumber,resultId,frameId,frameName,note,content,colorNumber,conditionNumber,color,distractorCount,featureContrast,condition,responseTime,errors,log_RT,mean_logRT,sd_logRT,filtered_logRT,filtered_mean_logRT,filtered_sd_logRT,filtered_zLogRT,totalSubjectErrors
1,6282c32db4f41367229c40fa,2290cc25bcf9f9a0,visualsearch,11_6,11_6.png,11,6,green,10,no contrast,"10, no contrast",6640,0,3.822168079,3.540386604,0.2499289971,3.822168079,3.516025819,0.2087310783,1.466682692,6
1,6282c32db4f41367229c40fa,61dadb8e2d49ea89,visualsearch,11_5,11_5.png,11,5,green,10,contrast,"10, contrast",14647,0,4.165748682,3.540386604,0.2499289971,,3.516025819,0.2087310783,,6
1,6282c32db4f41367229c40fa,c7aea52a18297810,visualsearch,14_6,14_6.png,14,6,red,10,no contrast,"10, no contrast",1882,0,3.274619619,3.540386604,0.2499289971,3.274619619,3.516025819,0.2087310783,-1.15654172,6
1,6282c32db4f41367229c40fa,8aa60eef81d1adc7,visualsearch,9_5,9_5.png,9,5,blue,10,contrast,"10, contrast",15730,0,4.196728723,3.540386604,0.2499289971,,3.516025819,0.2087310783,,6
1,6282c32db4f41367229c40fa,31c6d801f4ea823f,visualsearch,15_5,15_5.png,15,5,magenta,10,contrast,"10, contrast",3985,0,3.600428326,3.540386604,0.2499289971,3.600428326,3.516025819,0.2087310783,0.4043600356,6
1,6282c32db4f41367229c40fa,ca703e74d9ea3999,visualsearch,15_6,15_6.png,15,6,magenta,10,no contrast,"10, no contrast",51547,0,4.712203395,3.540386604,0.2499289971,,3.516025819,0.2087310783,,6
1,6282c32db4f41367229c40fa,2d8018c569974292,visualsearch,12_6,12_6.png,12,6,green,10,no contrast,"10, no contrast",9114,0,3.959709024,3.540386604,0.2499289971,3.959709024,3.516025819,0.2087310783,2.125621198,6
1,6282c32db4f41367229c40fa,c7aea52a18297810,visualsearch,14_6,14_6.png,14,6,red,10,no contrast,"10, no contrast",2219,0,3.346157302,3.540386604,0.2499289971,3.346157302,3.516025819,0.2087310783,-0.8138151663,6
1,6282c32db4f41367229c40fa,8aa60eef81d1adc7,visualsearch,9_5,9_5.png,9,5,blue,10,contrast,"10, contrast",2901,0,3.462547729,3.540386604,0.2499289971,3.462547729,3.516025819,0.2087310783,-0.2562056934,6
1,6282c32db4f41367229c40fa,78e8a739c3f19d73,visualsearch,9_6,9_6.png,9,6,blue,10,no contrast,"10, no contrast",3449,0,3.537693194,3.540386604,0.2499289971,3.537693194,3.516025819,0.2087310783,0.1038052171,6
1,6282c32db4f41367229c40fa,d97ce5e487e61563,visualsearch,13_6,13_6.png,13,6,red,10,no contrast,"10, no contrast",4033,0,3.605628222,3.540386604,0.2499289971,3.605628222,3.516025819,0.2087310783,0.4292719764,6
1,6282c32db4f41367229c40fa,d97ce5e487e61563,visualsearch,13_6,13_6.png,13,6,red,10,no contrast,"10, no contrast",2996,0,3.476541809,3.540386604,0.2499289971,3.476541809,3.516025819,0.2087310783,-0.1891621064,6
1,6282c32db4f41367229c40fa,07ab03b5b571936e,visualsearch,14_5,14_5.png,14,5,red,10,contrast,"10, contrast",2314,0,3.364363355,3.540386604,0.2499289971,3.364363355,3.516025819,0.2087310783,-0.726592638,6
1,6282c32db4f41367229c40fa,61dadb8e2d49ea89,visualsearch,11_5,11_5.png,11,5,green,10,contrast,"10, contrast",6897,0,3.838660226,3.540386604,0.2499289971,3.838660226,3.516025819,0.2087310783,1.545694149,6
1,6282c32db4f41367229c40fa,e6deb8110e107856,visualsearch,16_5,16_5.png,16,5,magenta,10,contrast,"10, contrast",1632,0,3.212720154,3.540386604,0.2499289971,3.212720154,3.516025819,0.2087310783,-1.453092982,6
1,6282c32db4f41367229c40fa,9519836342c3393d,visualsearch,16_6,16_6.png,16,6,magenta,10,no contrast,"10, no contrast",5565,0,3.745465169,3.540386604,0.2499289971,3.745465169,3.516025819,0.2087310783,1.09921029,6
1,6282c32db4f41367229c40fa,79afe025056bbec3,visualsearch,13_5,13_5.png,13,5,red,10,contrast,"10, contrast",5153,0,3.712060142,3.540386604,0.2499289971,3.712060142,3.516025819,0.2087310783,0.9391717062,6
1,6282c32db4f41367229c40fa,dd7cffc1f08ce161,visualsearch,10_5,10_5.png,10,5,blue,10,contrast,"10, contrast",4980,0,3.697229343,3.540386604,0.2499289971,3.697229343,3.516025819,0.2087310783,0.8681195188,6
1,6282c32db4f41367229c40fa,2f5767c51d05c882,visualsearch,12_5,12_5.png,12,5,green,10,contrast,"10, contrast",2786,0,3.444981112,3.540386604,0.2499289971,3.444981112,3.516025819,0.2087310783,-0.3403647791,6
1,6282c32db4f41367229c40fa,2f5767c51d05c882,visualsearch,12_5,12_5.png,12,5,green,10,contrast,"10, contrast",3384,0,3.529430354,3.540386604,0.2499289971,3.529430354,3.516025819,0.2087310783,0.06421916182,6
1,6282c32db4f41367229c40fa,ca703e74d9ea3999,visualsearch,15_6,15_6.png,15,6,magenta,10,no contrast,"10, no contrast",11452,0,4.058881339,3.540386604,0.2499289971,,3.516025819,0.2087310783,,6
1,6282c32db4f41367229c40fa,2290cc25bcf9f9a0,visualsearch,11_6,11_6.png,11,6,green,10,no contrast,"10, no contrast",5965,0,3.775610448,3.540386604,0.2499289971,3.775610448,3.516025819,0.2087310783,1.243631905,6
1,6282c32db4f41367229c40fa,2d8018c569974292,visualsearch,12_6,12_6.png,12,6,green,10,no contrast,"10, no contrast",6165,0,3.789933081,3.540386604,0.2499289971,3.789933081,3.516025819,0.2087310783,1.31224954,6
1,6282c32db4f41367229c40fa,31c6d801f4ea823f,visualsearch,15_5,15_5.png,15,5,magenta,10,contrast,"10, contrast",2249,0,3.351989455,3.540386604,0.2499289971,3.351989455,3.516025819,0.2087310783,-0.7858741752,6
1,6282c32db4f41367229c40fa,79afe025056bbec3,visualsearch,13_5,13_5.png,13,5,red,10,contrast,"10, contrast",5348,0,3.728191399,3.540386604,0.2499289971,3.728191399,3.516025819,0.2087310783,1.01645419,6
1,6282c32db4f41367229c40fa,e6deb8110e107856,visualsearch,16_5,16_5.png,16,5,magenta,10,contrast,"10, contrast",2199,0,3.342225229,3.540386604,0.2499289971,3.342225229,3.516025819,0.2087310783,-0.832653151,6
1,6282c32db4f41367229c40fa,035098a5060c42b0,visualsearch,10_6,10_6.png,10,6,blue,10,no contrast,"10, no contrast",4246,0,3.62797999,3.540386604,0.2499289971,3.62797999,3.516025819,0.2087310783,0.5363560197,6
1,6282c32db4f41367229c40fa,4a599dc3411ab36b,visualsearch,11_7,11_7.png,11,7,green,10,contrast,"10, contrast",3797,0,3.579440597,3.540386604,0.2499289971,3.579440597,3.516025819,0.2087310783,0.3038109043,6
1,6282c32db4f41367229c40fa,c221b26815645627,visualsearch,14_7,14_7.png,14,7,red,10,contrast,"10, contrast",2390,0,3.378397901,3.540386604,0.2499289971,3.378397901,3.516025819,0.2087310783,-0.6593551838,6
1,6282c32db4f41367229c40fa,afd7f30f97aaad28,visualsearch,10_8,10_8.png,10,8,blue,10,no contrast,"10, no contrast",1930,0,3.285557309,3.540386604,0.2499289971,3.285557309,3.516025819,0.2087310783,-1.104140851,6
1,6282c32db4f41367229c40fa,3ded3f66bade0c1c,visualsearch,13_7,13_7.png,13,7,red,10,contrast,"10, contrast",2967,0,3.472317546,3.540386604,0.2499289971,3.472317546,3.516025819,0.2087310783,-0.2093999298,6
1,6282c32db4f41367229c40fa,cbf642b39f10fe93,visualsearch,13_8,13_8.png,13,8,red,10,no contrast,"10, no contrast",3469,0,3.5402043,3.540386604,0.2499289971,3.5402043,3.516025819,0.2087310783,0.1158355553,6
1,6282c32db4f41367229c40fa,3455b944221c76d5,visualsearch,15_7,15_7.png,15,7,magenta,10,contrast,"10, contrast",1166,0,3.06669855,3.540386604,0.2499289971,3.06669855,3.516025819,0.2087310783,-2.152661082,6
1,6282c32db4f41367229c40fa,cbf642b39f10fe93,visualsearch,13_8,13_8.png,13,8,red,10,no contrast,"10, no contrast",1981,0,3.296884476,3.540386604,0.2499289971,3.296884476,3.516025819,0.2087310783,-1.049874056,6
1,6282c32db4f41367229c40fa,d55fb268bd1f6081,visualsearch,11_8,11_8.png,11,8,green,10,no contrast,"10, no contrast",2731,0,3.4363217,3.540386604,0.2499289971,3.4363217,3.516025819,0.2087310783,-0.3818507525,6
1,6282c32db4f41367229c40fa,5e5e4b5e5679683c,visualsearch,9_8,9_8.png,9,8,blue,10,no contrast,"10, no contrast",4531,0,3.656194062,3.540386604,0.2499289971,3.656194062,3.516025819,0.2087310783,0.6715255046,6
1,6282c32db4f41367229c40fa,e7bc71be0257501f,visualsearch,9_7,9_7.png,9,7,blue,10,contrast,"10, contrast",2615,0,3.417471693,3.540386604,0.2499289971,3.417471693,3.516025819,0.2087310783,-0.4721583726,6
1,6282c32db4f41367229c40fa,1561b35a07fb926f,visualsearch,14_8,14_8.png,14,8,red,10,no contrast,"10, no contrast",1750,0,3.243038049,3.540386604,0.2499289971,3.243038049,3.516025819,0.2087310783,-1.307844395,6
1,6282c32db4f41367229c40fa,6e2c49e4ed257d9b,visualsearch,16_7,16_7.png,16,7,magenta,10,contrast,"10, contrast",6001,0,3.778223627,3.540386604,0.2499289971,3.778223627,3.516025819,0.2087310783,1.256151261,6
1,6282c32db4f41367229c40fa,3455b944221c76d5,visualsearch,15_7,15_7.png,15,7,magenta,10,contrast,"10, contrast",2529,0,3.402948829,3.540386604,0.2499289971,3.402948829,3.516025819,0.2087310783,-0.5417352846,6
1,6282c32db4f41367229c40fa,9efd366c9159c522,visualsearch,16_8,16_8.png,16,8,magenta,10,no contrast,"10, no contrast",2765,0,3.441695136,3.540386604,0.2499289971,3.441695136,3.516025819,0.2087310783,-0.3561074106,6
1,6282c32db4f41367229c40fa,c221b26815645627,visualsearch,14_7,14_7.png,14,7,red,10,contrast,"10, contrast",2214,0,3.345177617,3.540386604,0.2499289971,3.345177617,3.516025819,0.2087310783,-0.8185086968,6
1,6282c32db4f41367229c40fa,94c4cfd5761555ff,visualsearch,15_8,15_8.png,15,8,magenta,10,no contrast,"10, no contrast",2580,0,3.411619706,3.540386604,0.2499289971,3.411619706,3.516025819,0.2087310783,-0.5001943857,6
1,6282c32db4f41367229c40fa,6e2c49e4ed257d9b,visualsearch,16_7,16_7.png,16,7,magenta,10,contrast,"10, contrast",4648,0,3.667266119,3.540386604,0.2499289971,3.667266119,3.516025819,0.2087310783,0.7245701077,6
1,6282c32db4f41367229c40fa,5e5e4b5e5679683c,visualsearch,9_8,9_8.png,9,8,blue,10,no contrast,"10, no contrast",4880,0,3.688419822,3.540386604,0.2499289971,3.688419822,3.516025819,0.2087310783,0.8259143962,6
1,6282c32db4f41367229c40fa,e7bc71be0257501f,visualsearch,9_7,9_7.png,9,7,blue,10,contrast,"10, contrast",3104,0,3.491921713,3.540386604,0.2499289971,3.491921713,3.516025819,0.2087310783,-0.1154792428,6
